TranType,Amount,Category,Description,Date
Expense,11.99,Coffee Shops,starbucks,2025-02-11 00:00:00
Expense,50.0,"Debt Payments (Student Loans, Credit Cards)",SPARTANBURG REGIONAL ,2025-02-03 00:00:00
Expense,18.29,Dining Out,CULVERS ,2025-02-03 00:00:00
Expense,5.33,Dining Out,MCDONALD'S,2025-02-03 00:00:00
Expense,5.93,"Personal Care (Haircuts, Skincare)",WALGREENS,2025-02-03 00:00:00
Expense,31.62,Dining Out,PAPA JOHNS,2025-02-03 00:00:00
Expense,14.02,Dining Out,RHINO MARKET,2025-02-03 00:00:00
Expense,69.53,"Pet Care (Food, Vet Visits)",Pet Supplies Plus,2025-02-03 00:00:00
Expense,167.95,Groceries,ALDI,2025-02-03 00:00:00
Expense,45.5,"Transportation (Gas, Maintenance, Public Transport)",QT,2025-02-03 00:00:00
Expense,5.45,"Personal Care (Haircuts, Skincare)",WALGREENS,2025-02-03 00:00:00
Expense,15.0,Coffee Shops,STARBUCKS,2025-02-04 00:00:00
Income,1869.09,Salary/Wages,BROAD RIVER RETAIL,2025-02-05 00:00:00
Expense,11.88,Coffee Shops,STARBUCKS,2025-02-05 00:00:00
Expense,16.55,Dining Out,CULVERS,2025-02-05 00:00:00
Expense,11.47,Dining Out,MCDONALDS,2025-02-05 00:00:00
Expense,28.84,Groceries,WALMART,2025-02-05 00:00:00
Expense,4.56,Groceries,WALMART,2025-02-05 00:00:00
Income,1.1,Side Hustles,BOA CASHBACK,2025-02-06 00:00:00
Expense,2.39,Coffee Shops,STARBUCKS,2025-02-06 00:00:00
Expense,20.0,Coffee Shops,STARBUCKS,2025-02-06 00:00:00
Expense,18.14,"Subscriptions (Streaming Services, Gym Memberships)",SPOTIFY,2025-02-06 00:00:00
Expense,20.69,Dining Out,SUBWAY,2025-02-06 00:00:00
Expense,10.0,Coffee Shops,STARBUCKS,2025-02-07 00:00:00
Expense,79.25,Groceries,TARGET,2025-02-07 00:00:00
Expense,104.96,Groceries,SAMSCLUB,2025-02-10 00:00:00
Expense,5.11,Coffee Shops,STARBUCKS,2025-02-10 00:00:00
Expense,100.71,"Utilities (Electricity, Water, Gas, Internet)",DUKE ENERGY,2025-02-10 00:00:00
Expense,30.02,"Transportation (Gas, Maintenance, Public Transport)",CIRCLE K,2025-02-10 00:00:00
Expense,11.66,Dining Out,MCDONALDS,2025-02-10 00:00:00
Expense,6.99,Coffee Shops,7 BREW,2025-02-10 00:00:00
Expense,29.35,"Transportation (Gas, Maintenance, Public Transport)",QT,2025-02-10 00:00:00
Expense,11.77,Dining Out,MCDONALDS,2025-02-10 00:00:00
Expense,25.36,Dining Out,MCDONALDS,2025-02-10 00:00:00
Expense,18.83,Groceries,TARGET,2025-02-10 00:00:00
Expense,24.29,Household Supplies,DOLLAR TREE,2025-02-10 00:00:00
Expense,80.7,Groceries,WALMART,2025-02-10 00:00:00
Expense,37.17,Groceries,TARGET,2025-02-10 00:00:00
Expense,66.36,"Debt Payments (Student Loans, Credit Cards)",DEPT EDUCATION,2025-02-10 00:00:00
Expense,3.0,"Subscriptions (Streaming Services, Gym Memberships)",ACORNS,2025-02-11 00:00:00
Expense,4.98,Gas Station/Vending Machine,QT,2025-02-11 00:00:00
Expense,6.27,Coffee Shops,STARBUCKS,2025-02-11 00:00:00
Expense,26.82,Dining Out,TACO BELL,2025-02-11 00:00:00
Expense,7.09,Coffee Shops,STARBUCKS,2025-02-11 00:00:00
